Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
20342676,"E. E. Cummings: Complete Poems, 1904-1962 (Revised, Corrected, and Expanded Edition)",E.E. Cummings,"Cummings, E.E.",George James Firmage,"=""""","=""""",0,4.35,Liveright,Hardcover,1136,1994,1991,,2015/06/30,to-read,to-read (#94),to-read,,,,,,,0,,,,,
395090,Ariel,Sylvia Plath,"Plath, Sylvia",,"=""0060931728""","=""9780060931728""",0,4.24,Harper Perennial Modern Classics,Paperback,105,1999,1965,,2015/06/30,to-read,to-read (#93),to-read,,,,,,,0,,,,,
313277,Birthday Letters,Ted Hughes,"Hughes, Ted",,"=""0374525811""","=""9780374525811""",0,3.92,"Farrar, Straus and Giroux",Paperback,198,1999,1998,,2015/06/30,to-read,to-read (#92),to-read,,,,,,,0,,,,,
481558,Wide Sargasso Sea,Jean Rhys,"Rhys, Jean",,"=""0393308804""","=""9780393308808""",0,3.55,W. W. Norton & Company,Paperback,176,1992,1966,,2015/06/30,to-read,to-read (#91),to-read,,,,,,,0,,,,,
530965,The Day of the Triffids,John Wyndham,"Wyndham, John",,"=""0812967127""","=""9780812967128""",0,3.98,Modern Library,Paperback,228,2003,1951,,2015/06/30,to-read,to-read (#90),to-read,,,,,,,0,,,,,
11713,The English Patient,Michael Ondaatje,"Ondaatje, Michael",,"=""0771068719""","=""9780771068713""",0,3.87,McClelland & Stewart,Hardcover,320,2006,1992,,2015/06/30,to-read,to-read (#89),to-read,,,,,,,0,,,,,
46164,Tender Is the Night,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""068480154X""","=""9780684801544""",0,3.83,Scribner,Paperback,317,1995,1934,,2015/06/30,to-read,to-read (#88),to-read,,,,,,,0,,,,,
387348,The Group,Mary McCarthy,"McCarthy, Mary",,"=""0156372088""","=""9780156372084""",0,3.65,Mariner Books,Paperback,492,1991,1963,,2015/06/30,to-read,to-read (#87),to-read,,,,,,,0,,,,,
2818398,The Clothes On Their Backs,Linda Grant,"Grant, Linda",,"=""1844085414""","=""9781844085415""",0,3.29,Virago Press (UK),Hardcover,293,,2008,,2015/06/30,to-read,to-read (#86),to-read,,,,,,,0,,,,,
31122,I Capture the Castle,Dodie Smith,"Smith, Dodie",,"=""0312181108""","=""9780312181109""",4,4.00,Wyatt Book,Hardcover,343,1998,1948,,2015/06/30,,,read,,,,,,,0,,,,,
3102,Howards End,E.M. Forster,"Forster, E.M.",,"=""0486424545""","=""9780486424545""",0,3.94,Dover Publications,Paperback,256,2002,1910,,2015/06/30,to-read,to-read (#85),to-read,,,,,,,0,,,,,
15196,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Art Spiegelman,"Spiegelman, Art",,"=""0394541553""","=""9780394541556""",0,4.34,Pantheon Books,Hardcover,159,1991,1986,,2015/06/29,to-read,to-read (#84),to-read,,,,,,,0,,,,,
13503109,This Is How You Lose Her,Junot Díaz,"Díaz, Junot",,"=""1594487367""","=""9781594487361""",0,3.73,Riverhead Books,Hardcover,217,2012,2012,,2015/06/26,to-read,to-read (#83),to-read,,,,,,,0,,,,,
297673,The Brief Wondrous Life of Oscar Wao,Junot Díaz,"Díaz, Junot",,"=""1594489580""","=""9781594489587""",4,3.87,Riverhead Books,Hardcover,335,2007,2007,,2015/06/26,,,read,,,,,,,0,,,,,
81026,The Magic Toyshop,Angela Carter,"Carter, Angela",,"=""0140256407""","=""9780140256406""",0,3.88,Penguin Books,Paperback,200,1996,1967,,2015/06/26,to-read,to-read (#82),to-read,,,,,,,0,,,,,
18652002,The Bees,Laline Paull,"Paull, Laline",,"=""0062331159""","=""9780062331151""",0,3.66,Ecco,Hardcover,340,2014,2014,,2015/06/26,to-read,to-read (#81),to-read,,,,,,,0,,,,,
20893942,Shark,Will Self,"Self, Will",,"=""0802123104""","=""9780802123107""",0,3.56,Grove Press,Hardcover,466,2014,2014,,2015/06/26,to-read,to-read (#80),to-read,,,,,,,0,,,,,
46171,Rayuela,Julio Cortázar,"Cortázar, Julio",Andrés Amorós,"=""8437604575""","=""9788437604572""",0,4.26,Cátedra,Paperback,752,2010,1963,,2015/06/26,to-read,to-read (#79),to-read,,,,,,,0,,,,,
777824,Parade's End,Ford Madox Ford,"Ford, Ford Madox",Robie MacAuley,"=""0141186615""","=""9780141186610""",5,3.93,Penguin Classics,Paperback,836,2001,1928,2015/12/12,2015/06/26,,,read,,,,,,,0,,,,,
1736739,Olive Kitteridge,Elizabeth Strout,"Strout, Elizabeth",,"=""140006208X""","=""9781400062089""",4,3.75,Random House,Hardcover,270,2008,2007,,2015/06/26,,,read,,,,,,,0,,,,,
21412360,Nora Webster,Colm Tóibín,"Tóibín, Colm",,"=""1439138338""","=""9781439138335""",0,3.59,Scribner,Hardcover,373,2014,2014,,2015/06/26,to-read,to-read (#78),to-read,,,,,,,0,,,,,
372811,Love in a Cold Climate,Nancy Mitford,"Mitford, Nancy",,"=""0140009841""","=""9780140009842""",0,3.85,Penguin,Paperback,249,1999,1949,,2015/06/26,to-read,to-read (#77),to-read,,,,,,,0,,,,,
14285,Lives of Girls and Women,Alice Munro,"Munro, Alice",,"=""0375707492""","=""9780375707490""",0,4.01,Vintage,Paperback,288,2001,1971,,2015/06/26,to-read,to-read (#76),to-read,,,,,,,0,,,,,
315871,La amortajada,María Luisa Bombal,"Bombal, María Luisa",,"=""9703215122""","=""9789703215126""",0,3.75,Editorial Universitaria,Paperback,77,2005,1962,,2015/06/26,to-read,to-read (#75),to-read,,,,,,,0,,,,,
8744427,Howl,Allen Ginsberg,"Ginsberg, Allen",Eric Drooker,"=""0062015176""","=""9780062015174""",0,4.11,Harper Perennial,Paperback,224,2010,2010,,2015/06/26,to-read,to-read (#74),to-read,,,,,,,0,,,,,
21462154,"If I Fall, If I Die",Michael Christie,"Christie, Michael",,"=""0804140804""","=""9780804140805""",0,3.30,Hogarth,Hardcover,288,2015,2015,,2015/06/26,to-read,to-read (#73),to-read,,,,,,,0,,,,,
17086109,Good Kings Bad Kings,Susan Nussbaum,"Nussbaum, Susan",,"=""1616202637""","=""9781616202637""",0,3.90,Algonquin Books,Hardcover,336,2013,2013,,2015/06/26,to-read,to-read (#72),to-read,,,,,,,0,,,,,
119841,The Gold Cell (Knopf Poetry Series),Sharon Olds,"Olds, Sharon",Alice Quinn,"=""0394747704""","=""9780394747705""",0,4.22,Knopf Publishing Group,Paperback,112,1987,1987,,2015/06/26,to-read,to-read (#71),to-read,,,,,,,0,,,,,
68783,"Girl, Interrupted",Susanna Kaysen,"Kaysen, Susanna",,"=""0679746048""","=""9780679746041""",0,3.89,Vintage,Paperback,169,1994,1993,,2015/06/26,to-read,to-read (#70),to-read,,,,,,,0,,,,,
152893,Death and the Penguin,Andrey Kurkov,"Kurkov, Andrey",George Bird,"=""1860469450""","=""9781860469459""",0,3.82,Vintage,Paperback,228,2002,1996,,2015/06/26,to-read,to-read (#69),to-read,,,,,,,0,,,,,
13530981,Dear Life: Stories,Alice Munro,"Munro, Alice",,"=""0771064861""","=""9780771064869""",0,3.74,Douglas Gibson Books,Hardcover,336,2012,2012,,2015/06/26,to-read,to-read (#68),to-read,,,,,,,0,,,,,
1037864,Dart,Alice Oswald,"Oswald, Alice",,"=""057121410X""","=""9780571214105""",0,4.02,Faber and Faber,Paperback,46,2002,2002,,2015/06/26,to-read,to-read (#67),to-read,,,,,,,0,,,,,
18114220,Chop Chop,Simon Wroe,"Wroe, Simon",,"=""1594205795""","=""9781594205798""",0,3.34,Penguin Press,Hardcover,288,2014,2014,,2015/06/26,to-read,to-read (#66),to-read,,,,,,,0,,,,,
315881,Cambio de armas,Luisa Valenzuela,"Valenzuela, Luisa",,"=""9875451797""","=""9789875451797""",0,4.05,Grupo Editorial Norma,Paperback,196,2004,1982,,2015/06/26,to-read,to-read (#65),to-read,,,,,,,0,,,,,
18218630,A Girl Is a Half-formed Thing,Eimear McBride,"McBride, Eimear",,"=""0957185324""","=""9780957185326""",0,3.44,Galley Beggar Press,Paperback,205,2013,2013,,2015/06/26,to-read,to-read (#64),to-read,,,,,,,0,,,,,
20893314,A Brief History of Seven Killings,Marlon James,"James, Marlon",,"=""159448600X""","=""9781594486005""",0,3.87,Riverhead Books,Hardcover,688,2014,2014,,2015/06/26,to-read,to-read (#63),to-read,,,,,,,0,,,,,
63032,2666,Roberto Bolaño,"Bolaño, Roberto",,"=""843396867X""","=""9788433968678""",0,4.19,Anagrama,Paperback,1126,2006,2004,,2015/06/26,to-read,to-read (#62),to-read,,,,,,,0,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.31,Scribner,Hardcover,530,2014,2014,,2015/06/26,to-read,to-read (#61),to-read,,,,,,,0,,,,,
62798,The Temple of the Golden Pavilion,Yukio Mishima,"Mishima, Yukio",Ivan Morris,"=""0679433155""","=""9780679433156""",0,3.97,Everyman's Library,Hardcover,304,1995,1956,,2015/06/26,to-read,to-read (#60),to-read,,,,,,,0,,,,,
23209971,Girl at War,Sara Nović,"Nović, Sara",,"=""0812996348""","=""9780812996340""",0,3.98,Random House,Hardcover,320,2015,2015,,2015/06/26,to-read,to-read (#59),to-read,,,,,,,0,,,,,
12781,The Satanic Verses,Salman Rushdie,"Rushdie, Salman",,"=""0312270828""","=""9780312270827""",0,3.71,Picador USA,Paperback,561,2000,1988,,2015/06/26,to-read,to-read (#58),to-read,,,,,,,0,,,,,
240976,The Book of Laughter and Forgetting,Milan Kundera,"Kundera, Milan",Aaron Asher,"=""0060932147""","=""9780060932145""",0,4.01,HarperPerennial Modern Classics,Paperback,263,1999,1978,,2015/06/26,to-read,to-read (#57),to-read,,,,,,,0,,,,,
9717,The Unbearable Lightness of Being,Milan Kundera,"Kundera, Milan",Michael Henry Heim,"=""0571224385""","=""9780571224388""",0,4.07,,Paperback,320,2009,1984,,2015/06/26,to-read,to-read (#56),to-read,,,,,,,0,,,,,
18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""1400044162""","=""9781400044160""",0,4.24,Knopf,Hardcover,433,2006,2006,,2015/06/26,to-read,to-read (#55),to-read,,,,,,,0,,,,,
12857,The Gambler,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor","Constance Garnett, Gary Saul Morson","=""""","=""9780812966930""",0,3.88,Modern Library,Paperback,240,2003,1866,,2015/06/26,to-read,to-read (#54),to-read,,,,,,,0,,,,,
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""0452287065""","=""9780452287068""",4,3.97,Plume,Paperback,216,2005,1970,,2015/06/26,,,read,,,,,,,0,,,,,
428210,"The Evolution Man: Or, How I Ate My Father",Roy  Lewis,"Lewis, Roy",,"=""0679750096""","=""9780679750093""",4,3.72,Vintage,Paperback,224,1994,1960,,2015/06/26,,,read,,,,,,,0,,,,,
540020,The Day of the Jackal,Frederick Forsyth,"Forsyth, Frederick",,"=""0553266306""","=""9780553266306""",0,4.23,Bantam,Paperback,384,1982,1971,,2015/06/26,to-read,to-read (#53),to-read,,,,,,,0,,,,,
4982,The Sirens of Titan,Kurt Vonnegut,"Vonnegut, Kurt",,"=""1857988841""","=""9781857988840""",0,4.15,Gollancz,Paperback,224,1999,1959,,2015/06/26,to-read,to-read (#52),to-read,,,,,,,0,,,,,
49628,Cloud Atlas,David Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.01,Random House,Paperback,509,2004,2004,,2015/06/26,to-read,to-read (#51),to-read,,,,,,,0,,,,,
216363,The Man in the High Castle,Philip K. Dick,"Dick, Philip K.",,"=""0679740678""","=""9780679740674""",0,3.73,Vintage,Paperback,259,1992,1962,,2015/06/26,to-read,to-read (#50),to-read,,,,,,,0,,,,,
24770,"Uglies (Uglies, #1)",Scott Westerfeld,"Westerfeld, Scott",,"=""0689865384""","=""9780689865381""",3,3.86,Simon Pulse,Paperback,425,2005,2005,,2015/06/26,,,read,,,,,,,0,,,,,
310612,A Confederacy of Dunces,John Kennedy Toole,"Toole, John Kennedy",Walker Percy,"=""0802130208""","=""9780802130204""",0,3.88,Grove Press,Paperback,416,1994,1980,,2015/06/26,to-read,to-read (#49),to-read,,,,,,,0,,,,,
43944,Suite Française,Irène Némirovsky,"Némirovsky, Irène",Sandra Smith,"=""1400096278""","=""9781400096275""",0,3.80,Vintage,Paperback,431,2007,2004,,2015/06/26,to-read,to-read (#48),to-read,,,,,,,0,,,,,
28407,"Germinal (Les Rougon-Macquart, #13)",Émile Zola,"Zola, Émile",Roger Pearson,"=""0140447423""","=""9780140447422""",3,4.07,Penguin Classics,Paperback,592,2004,1885,,2015/06/26,,,read,,,,,,,0,,,,,
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Lee Fahnestock, Norman MacAfee","=""0451525264""","=""9780451525260""",3,4.12,Signet Classics,Mass Market Paperback,1463,1987,1862,,2015/06/26,,,read,,,,,,,0,,,,,
6101138,"Wolf Hall (Thomas Cromwell, #1)",Hilary Mantel,"Mantel, Hilary",,"=""0007230206""","=""9780007230204""",0,3.83,HarperCollins Publishers Ltd,Paperback,653,2010,2009,,2015/06/26,to-read,to-read (#47),to-read,,,,,,,0,,,,,
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.32,Riverhead Books,Hardcover,372,2007,2007,,2015/06/26,to-read,to-read (#46),to-read,,,,,,,0,,,,,
6867,Atonement,Ian McEwan,"McEwan, Ian",,"=""038572179X""","=""9780385721790""",0,3.86,Anchor,Paperback,351,2003,2001,,2015/06/26,to-read,to-read (#45),to-read,,,,,,,0,,,,,
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""0316921173""","=""9780316921176""",0,4.33,Back Bay Books,Paperback,1088,2005,1996,,2015/06/26,to-read,to-read (#44),to-read,,,,,,,0,,,,,
7082,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",Roger Zelazny,"=""0345404475""","=""9780345404473""",0,4.07,Del Rey / Ballantine Books,Paperback,256,1996,1968,,2015/06/26,to-read,to-read (#43),to-read,,,,,,,0,,,,,
6952,Like Water for Chocolate,Laura Esquivel,"Esquivel, Laura","Thomas  Christensen, Carol Christensen","=""0552995878""","=""9780552995870""",0,3.93,Random House Black Swan,Paperback,224,1993,1989,,2015/06/26,to-read,to-read (#42),to-read,,,,,,,0,,,,,
9969571,Ready Player One,Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.31,Random House NY,Hardcover,374,2011,2011,,2015/06/26,to-read,to-read (#41),to-read,,,,,,,0,,,,,
4929,Kafka on the Shore,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""1400079276""","=""9781400079278""",0,4.12,Vintage International,Paperback,467,2006,2002,,2015/06/26,to-read,to-read (#40),to-read,,,,,,,0,,,,,
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Louise Maude, Alymer Maude","=""0345803922""","=""9780345803924""",0,4.00,Vintage,Paperback,964,2012,1873,,2015/06/26,currently-reading,currently-reading (#1),currently-reading,,,,,,,0,,,,,
19288239,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0385352107""","=""9780385352109""",0,3.80,Knopf Publishing Group,Hardcover,386,2014,2013,,2015/06/26,to-read,to-read (#40),to-read,,,,,,,0,,,,,
15796700,Americanah,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""0307271080""","=""9780307271082""",3,4.21,Knopf,Hardcover,477,2013,2013,,2015/06/26,,,read,,,,,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de",Richard Howard,"=""0156012197""","=""9780156012195""",5,4.26,"Harcourt, Inc.",Paperback,98,2000,1943,,2015/06/26,,,read,,,,,,,0,,,,,
119322,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,"=""0679879242""","=""9780679879244""",3,3.91,Knopf Books for Young Readers,Hardcover,399,1996,1995,,2015/06/26,,,read,,,,,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",4,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2015/06/26,,,read,,,,,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439554934""","=""9780439554930""",4,4.41,Scholastic,Hardcover,310,2003,1997,,2015/06/26,,,read,,,,,,,0,,,,,
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""0393312836""","=""9780393312836""",0,3.97,W. W. Norton & Company,Paperback,192,1995,1962,,2015/06/26,to-read,to-read (#38),to-read,,,,,,,0,,,,,
12497,No Country For Old Men,Cormac McCarthy,"McCarthy, Cormac",,"=""0375706674""","=""9780375706677""",0,4.11,Vintage,Paperback,309,2006,2005,,2015/06/26,to-read,to-read (#37),to-read,,,,,,,0,,,,,
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.09,Harvest Books,Paperback,536,1994,1980,,2015/06/26,to-read,to-read (#36),to-read,,,,,,,0,,,,,
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""0140120831""","=""9780140120837""",4,3.98,Penguin Books,Paperback,263,1987,1985,,2015/06/26,,,read,,,,,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.36,Scholastic Press,Hardcover,374,2008,2008,,2015/06/26,,,read,,,,,,,0,,,,,
28676,American Psycho,Bret Easton Ellis,"Ellis, Bret Easton",,"=""0679735771""","=""9780679735779""",0,3.80,Vintage Contemporaries / Random House,Paperback,399,1991,1991,,2015/06/26,to-read,to-read (#35),to-read,,,,,,,0,,,,,
2153405,Still Alice,Lisa Genova,"Genova, Lisa",,"=""0595440096""","=""9780595440092""",0,4.29,iUniverse,Paperback,292,2007,2005,,2015/06/26,to-read,to-read (#34),to-read,,,,,,,0,,,,,
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",3,3.63,Knopf,Hardcover,288,2010,2010,2015/07/12,2015/06/26,,,read,,,,,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""0375831002""","=""9780375831003""",4,4.35,Knopf Books for Young Readers,Hardcover,552,2006,2005,,2015/06/26,,,read,,,,,,,0,,,,,
4588,Extremely Loud and Incredibly Close,Jonathan Safran Foer,"Foer, Jonathan Safran",,"=""0618711651""","=""9780618711659""",0,3.96,Mariner Books,Paperback,326,2006,2005,,2015/06/26,to-read,to-read (#33),to-read,,,,,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",0,4.02,Vintage Books,Paperback,296,2000,1987,,2015/06/26,to-read,to-read (#32),to-read,,,,,,,0,,,,,
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",5,3.94,Knopf,Hardcover,241,2006,2006,2016/01/12,2015/06/26,,,read,,,,,,,0,,,,,
930,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""0739326228""","=""9780739326220""",0,4.06,Random House Large Print,Hardcover,434,2005,1997,,2015/06/26,to-read,to-read (#31),to-read,,,,,,,0,,,,,
2429135,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0307269752""","=""9780307269751""",0,4.09,Knopf,Hardcover,465,2008,2005,,2015/06/26,to-read,to-read (#30),to-read,,,,,,,0,,,,,
5759,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,"=""0393327345""","=""9780393327342""",0,4.19,W.W. Norton & Company (NYC),Paperback,218,2005,1996,,2015/06/26,to-read,to-read (#29),to-read,,,,,,,0,,,,,
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",0,3.86,"Little, Brown",Hardcover,773,2013,2013,,2015/06/26,to-read,to-read (#28),to-read,,,,,,,0,,,,,
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",0,3.79,Vintage Books ,Paperback,288,2010,2005,,2015/06/26,to-read,to-read (#28),to-read,,,,,,,0,,,,,
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",4,3.96,Picador,Paperback,529,2003,2002,,2015/06/26,,,read,,,,,,,0,,,,,
7937843,Room,Emma Donoghue,"Donoghue, Emma",,"=""0316098337""","=""9780316098335""",0,3.99,"Little, Brown and Company",Hardcover,321,2010,2010,,2015/06/26,to-read,to-read (#26),to-read,,,,,,,0,,,,,
18619684,The Time Traveler's Wife,Audrey Niffenegger,"Niffenegger, Audrey",,"=""""","=""9781939126016""",0,3.93,Zola Books,ebook,500,2013,2003,,2015/06/26,to-read,to-read (#25),to-read,,,,,,,0,,,,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""1594480001""","=""9781594480003""",0,4.23,Riverhead,Paperback,371,2004,2003,,2015/06/26,to-read,to-read (#24),to-read,,,,,,,0,,,,,
9516,"Persepolis: The Story of a Childhood (Persepolis, #1-2)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",4,4.21,Pantheon,Paperback,160,2004,2000,,2015/06/26,,,read,,,,,,,0,,,,,
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",3,3.84,Vintage,Paperback,226,2004,2003,,2015/06/26,,,read,,,,,,,0,,,,,
16640,The Sorrows of Young Werther,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Burton Pike,"=""0812969901""","=""9780812969900""",0,3.61,Modern Library,Paperback,149,2005,1774,,2015/06/26,to-read,to-read (#23),to-read,,,,,,,0,,,,,
13214,I Know Why the Caged Bird Sings,Maya Angelou,"Angelou, Maya",,"=""0553279378""","=""9780553279375""",0,4.16,Bantam Books,Paperback,246,1993,1969,,2015/06/26,to-read,to-read (#22),to-read,,,,,,,0,,,,,
30933,Brideshead Revisited,Evelyn Waugh,"Waugh, Evelyn",,"=""0316926345""","=""9780316926348""",4,3.99,Back Bay Books,Paperback,351,1982,1945,,2015/06/26,,,read,,,,,,,0,,,,,
18521,A Room of One's Own,Virginia Woolf,"Woolf, Virginia",,"=""0141183535""","=""9780141183534""",0,4.07,"Penguin Books, Limited (UK)",Mass Market Paperback,112,2002,1928,,2015/06/26,to-read,to-read (#21),to-read,,,,,,,0,,,,,
6149,Beloved,Toni Morrison,"Morrison, Toni",,"=""1400033411""","=""9781400033416""",0,3.74,Vintage,Paperback,324,2004,1987,,2015/06/26,to-read,to-read (#20),to-read,,,,,,,0,,,,,
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0142403881""","=""9780142403884""",4,4.10,Puffin,Paperback,176,2005,1964,,2015/06/26,,,read,,,,,,,0,,,,,
135479,Cat's Cradle,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0140285601""","=""9780140285604""",0,4.18,Penguin,Paperback,179,1999,1963,,2015/06/26,to-read,to-read (#19),to-read,,,,,,,0,,,,,
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""0345391802""","=""9780345391803""",0,4.19,Del Rey Books,Mass Market Paperback,216,1995,1979,,2015/06/26,to-read,to-read (#18),to-read,,,,,,,0,,,,,
12220,A Streetcar Named Desire,Tennessee Williams,"Williams, Tennessee",,"=""0822210894""","=""9780822210894""",0,3.96,Dramatists Play Service,Paperback,107,1952,1947,,2015/06/26,to-read,to-read (#17),to-read,,,,,,,0,,,,,
9712,Love in the Time of Cholera,Gabriel Garcí­a Márquez,"Márquez, Gabriel Garcí­a",Edith Grossman,"=""140003468X""","=""9781400034680""",0,3.88,Vintage International,Paperback,348,2003,1985,,2015/06/26,to-read,to-read (#16),to-read,,,,,,,0,,,,,
17690,The Trial,Franz Kafka,"Kafka, Franz","Edwin Muir, Willa Muir, Max Brod","=""0099428644""","=""9780099428640""",4,3.98,Vintage Classics,Paperback,216,2001,1925,2016/01/30,2015/06/26,,,read,,,,,,,0,,,,,
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""0385474547""","=""9780385474542""",4,3.58,Anchor Books,Paperback,209,1994,1958,,2015/06/26,,,read,,,,,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",4,4.21,St. Martin's Griffin,Paperback,264,2004,1939,,2015/06/26,,,read,,,,,,,0,,,,,
7588,A Portrait of the Artist as a Young Man,James Joyce,"Joyce, James",Seamus Deane,"=""0142437344""","=""9780142437346""",0,3.59,Penguin Classics,Paperback,329,2003,1914,,2015/06/26,to-read,to-read (#15),to-read,,,,,,,0,,,,,
338798,Ulysses,James Joyce,"Joyce, James",,"=""0679722769""","=""9780679722762""",0,3.73,Vintage International,Paperback,810,1990,1922,,2015/06/26,to-read,to-read (#14),to-read,,,,,,,0,,,,,
662,Atlas Shrugged,Ayn Rand,"Rand, Ayn",Leonard Peikoff,"=""0452011876""","=""9780452011878""",0,3.67,Plume,Paperback,1168,1999,1957,,2015/06/26,to-read,to-read (#13),to-read,,,,,,,0,,,,,
46170,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,"=""0684803356""","=""9780684803357""",4,3.94,Scribner,Paperback,480,2003,1940,,2015/06/26,,,read,,,,,,,0,,,,,
102868,"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,"=""1420925539""","=""9781420925531""",3,4.14,Digireads.com,Paperback,108,2005,1887,,2015/06/26,,,read,,,,,,,0,,,,,
4934,The Brothers Karamazov,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.29,"Farrar, Straus and Giroux",Paperback,776,2002,1880,,2015/06/26,to-read,to-read (#12),to-read,,,,,,,0,,,,,
14836,Midnight's Children,Salman Rushdie,"Rushdie, Salman",,"=""0099578514""","=""9780099578512""",0,3.99,Vintage,Paperback,647,1995,1981,,2015/06/26,to-read,to-read (#11),to-read,,,,,,,0,,,,,
426504,Ficciones,Jorge Luis Borges,"Borges, Jorge Luis","Anthony Kerrigan, Anthony Bonner","=""0802130305""","=""9780802130303""",0,4.47,Grove Press,Paperback,174,1994,1944,,2015/06/26,to-read,to-read (#10),to-read,,,,,,,0,,,,,
28634,Immortality,Milan Kundera,"Kundera, Milan",,"=""057114456X""","=""9780571144563""",0,4.10,Faber and Faber,Paperback,400,1992,1990,,2015/06/26,to-read,to-read (#9),to-read,,,,,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel Garcí­a Márquez,"Márquez, Gabriel Garcí­a",Gregory Rabassa,"=""0060531045""","=""9780060531041""",5,4.02,Harper,Hardcover,457,2003,1967,,2015/06/26,,,read,,,,,,,0,,,,,
