Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
29875905,The Dark Flood Rises,Margaret Drabble,"Drabble, Margaret",,"=""0374134952""","=""9780374134952""",0,3.68,"Farrar, Straus and Giroux",Hardcover,325,2017,2016,,2017/08/06,to-read,to-read (#408),to-read,,,,0,,,0,,,,,,,"Fiction|54;Literary Fiction|11;Contemporary|6;Abandoned|5;European Literature,British Literature|5"
32202640,The Rule of the Land: Walking Ireland's Border,Garrett Carr,"Carr, Garrett",,"=""0571313353""","=""9780571313358""",0,3.97,Faber  Faber,Hardcover,336,2017,,,2017/08/06,to-read,to-read (#407),to-read,,,,0,,,0,,,,,,,
29906980,Lincoln in the Bardo,George Saunders,"Saunders, George",,"=""0812995341""","=""9780812995343""",0,3.92,Random House,Hardcover,343,2017,2017,,2017/08/06,to-read,to-read (#406),to-read,,,,0,,,0,,,,,,,"Fiction|964;Historical,Historical Fiction|955;Audiobook|189;Literary Fiction|161"
7381740,The Rehearsal,Eleanor Catton,"Catton, Eleanor",,"=""0316074330""","=""9780316074339""",0,3.43,Reagan Arthur Books,Hardcover,320,2010,2008,,2017/08/06,to-read,to-read (#405),to-read,,,,0,,,0,,,,,,,Fiction|152;Contemporary|46;Literary Fiction|29;Young Adult|25
17333230,The Luminaries,Eleanor Catton,"Catton, Eleanor",,"=""0316074314""","=""9780316074315""",0,3.70,"Little, Brown and Company",Hardcover,848,2013,2013,,2017/08/06,to-read,to-read (#404),to-read,,,,0,,,0,,,,,,,"Fiction|1395;Historical,Historical Fiction|1267;Mystery|488;Historical|255"
27280467,Sympathy,Olivia Sudjic,"Sudjic, Olivia",,"=""""","=""""",0,3.24,Houghton Mifflin Harcourt,Kindle Edition,416,2017,2017,,2017/08/06,to-read,to-read (#403),to-read,,,,0,,,0,,,,,,,Fiction|31;Contemporary|6;Novels|5;Mystery|5
30091914,Human Acts,Han Kang,"Kang, Han",Deborah Smith,"=""1101906723""","=""9781101906729""",0,4.18,Hogarth Press,Hardcover,218,2017,2014,,2017/08/06,to-read,to-read (#402),to-read,,,,0,,,0,,,,,,,"Fiction|255;Historical,Historical Fiction|212;Literary Fiction|60;Historical|47;Cultural,Asia|43"
33656486,Attrib. and other stories,Eley Williams,"Williams, Eley",,"=""1910312169""","=""9781910312162""",0,4.45,Influx Press,Paperback,176,2017,2017,,2017/08/06,to-read,to-read (#401),to-read,,,,0,,,0,,,,,,,Short Stories|18;Fiction|8;Literary Fiction|2
30038976,Dark Water (Makana #6),Parker Bilal,"Bilal, Parker",,"=""1632866528""","=""9781632866523""",0,4.15,Bloomsbury USA,Hardcover,352,2017,,,2017/08/06,to-read,to-read (#400),to-read,,,,0,,,0,,,,,,,"Mystery,Crime|2;Thriller|2"
52090,Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,"Arendt, Hannah",,"=""0143039881""","=""9780143039884""",0,4.19,Penguin Classics,Paperback,312,2006,1963,,2017/08/06,to-read,to-read (#399),to-read,,,,0,,,0,,,,,,,"History|586;Nonfiction|500;Philosophy|455;Politics|166;World War II,Holocaust|109;War,World War II|66"
